feature,importance
cluster_separation_norm,0.31145935424531646
pca_axis_ratio,0.09649447025846793
cluster_compactness_norm,0.08180690200008953
band_score,0.08057162927975162
chromatin_area_ratio,0.06199487185786959
file_size_bytes,0.03149192574145721
clahe_mean,0.023140594416396515
edge_density,0.02157091549224977
std_object_area_norm,0.019872993447689037
sharpened_mean,0.01590069157324544
mean_object_area_norm,0.014933679730390812
gray_mean,0.014072430635724371
max_object_area_norm,0.013729599132787793
candidate_line_edge_density,0.012356282829910352
background_corrected_mean,0.012247368935853408
gray_std,0.011983616181487114
clahe_std,0.011430836145717858
pca_minor_span_norm,0.011146762703469593
centroid_distance_to_center_norm,0.010995132228194343
contrast_gain_clahe,0.010335830568323535
cluster_balance,0.010299934366976566
spindle_total_length_norm,0.010093116272375668
spindle_line_count,0.009640998934098697
sharpened_std,0.008591310406314962
contrast_gain_background_corrected,0.007797015048992265
pca_major_span_norm,0.0076559770278710445
std_circularity,0.007507120597254313
spindle_angle_coherence,0.0074907823673192285
object_count,0.00724972834425077
mean_circularity,0.007022530470525565
background_corrected_std,0.006961911592367537
axis_line_alignment,0.006750906216407126
axis_line_perpendicularity,0.006630272030762261
pca_angle_rad,0.0059147309615797256
spindle_mean_length_norm,0.0059123119197107025
chromatin_centroid_x_norm,0.00575212333567839
chromatin_centroid_y_norm,0.005704035097035835
spindle_dominant_angle_rad,0.005489307606086884
